elements_number,y_component_number,vector_length,temporary_size,vector_recompute,load_overlap,threads_number,lws_y,time_per_pixel
4,2,1,4,true,false,512,2,1.894129346399407e-10
4,1,4,4,true,false,32,8,1.2155177849374564e-09
3,3,8,2,true,false,64,64,1.6710603347747215e-08
3,3,1,4,true,true,64,8,4.1674430885097646e-10
1,1,2,2,true,true,256,128,5.360583566919233e-09
1,1,16,2,true,false,512,16,1.9202981971661288e-09
2,2,2,2,true,false,128,64,3.6942336033439974e-09
1,1,4,2,true,false,256,4,8.572834850914531e-10
3,1,2,2,true,true,256,256,5.9821905058876166e-09
4,4,4,4,true,false,128,4,4.733374457286978e-10
1,1,8,4,true,false,512,16,1.2239562384262746e-09
3,3,1,4,true,false,64,32,1.623533919495288e-09
2,1,2,4,true,true,64,16,1.3852375237090228e-09
3,3,4,2,true,true,32,2,8.923922698862501e-10
2,2,1,4,true,false,256,128,1.8660875702105384e-09
4,2,1,4,true,false,256,256,3.7060046236199844e-09
1,1,2,4,true,true,128,4,4.93421479883416e-10
4,1,2,4,true,false,128,2,3.033539197654631e-10
3,3,4,4,true,false,128,32,2.746478612451556e-09
4,2,4,4,true,false,256,128,3.175737258746994e-09
3,3,1,4,true,false,512,128,8.716277831711821e-10
3,1,16,4,true,false,512,128,3.716614477740835e-09
4,2,2,2,true,true,512,256,1.932729639079289e-09
2,2,4,2,true,false,512,256,6.483937836052971e-09
2,2,2,4,true,true,512,8,3.3453332392794886e-10
3,1,8,2,true,true,256,2,5.449491095086443e-10
3,1,8,2,true,true,512,256,4.417524144636986e-09
4,4,1,2,true,false,128,128,3.081281679949995e-09
2,1,4,4,true,true,512,8,4.630225686853074e-10
3,1,2,2,true,true,256,32,8.975019275303413e-10
3,3,16,4,true,false,32,16,1.305791853999971e-08
3,1,2,4,true,true,256,64,1.610754412302357e-09
2,1,1,4,true,false,512,32,4.202782155213128e-10
4,4,2,2,true,true,64,2,2.817168321834097e-10
2,2,1,2,true,true,128,128,3.6654172720945967e-09
4,2,8,2,true,true,128,1,4.974744866722251e-10
4,2,4,2,true,false,64,8,8.799686194646628e-10
4,4,16,4,true,false,32,1,1.3858853958277951e-09
3,1,1,4,true,true,256,32,8.019036164530279e-10
4,1,16,2,true,false,128,64,5.421631780826101e-09
2,1,8,4,true,false,64,8,1.8475928748314416e-09
4,4,16,4,true,true,512,256,1.617691422992819e-08
1,1,16,4,true,true,32,16,2.1478276482883277e-08
4,2,4,2,true,true,128,64,3.1690394795003405e-09
4,4,4,4,true,false,256,32,1.3337348289369756e-09
3,3,4,4,true,false,64,16,2.7583598972914665e-09
4,1,8,4,true,true,64,8,9.80719986513611e-10
2,1,16,4,true,false,32,16,1.0656057793178928e-08
2,2,16,2,true,true,512,16,1.3951927450482488e-09
4,4,8,2,true,true,512,1,7.151448650393321e-10
1,1,4,2,true,true,512,16,8.172407008992256e-10
2,1,4,2,true,false,128,32,2.3562701308122055e-09
4,1,2,2,true,false,256,2,3.025909580523712e-10
3,1,2,4,true,false,512,512,5.978627445462773e-09
4,1,4,2,true,true,512,64,6.568856027002325e-10
2,1,2,2,true,false,256,128,2.690342155329617e-09
4,4,1,4,true,true,128,64,1.488466038281184e-09
3,3,2,2,true,true,64,8,8.40794311205288e-10
3,3,8,4,true,true,64,2,7.226577906449297e-10
2,1,16,2,true,false,512,32,1.702831718082773e-09
4,2,16,2,true,true,128,128,1.5133790665486113e-08
2,2,4,2,true,false,512,8,5.979393080024353e-10
3,1,8,4,true,true,512,4,5.37948473645053e-10
4,2,2,2,true,false,512,4,1.812126628732038e-10
3,3,8,2,true,false,32,2,1.2957019335815974e-09
3,1,4,2,true,false,64,64,6.035275730387077e-09
3,3,8,2,true,false,64,32,8.148133621019673e-09
4,1,8,2,true,false,512,32,5.999868672457144e-10
2,2,4,4,true,true,32,1,7.693756731116618e-10
1,1,8,4,true,false,64,2,1.2999273414130687e-09
3,1,1,2,true,true,32,8,1.4441266978344933e-09
3,1,8,2,true,false,32,32,8.639526779556396e-09
